parent_fund,SUPPLEMENTAL_ID_1,Basket Shares
HRCL,EO.US.US.CAT..P605.20260220,-1
HRCL,EO.US.US.CAT..P700.20260306,-2
HRCL,EO.US.US.GE..C327-5.20260220,-2
HRCL,EO.US.US.GE..C340.20260306,-3
HRCL,EO.US.US.GE..C342-5.20260220,-2
HRCL,EO.US.US.GE..P285.20260220,-2
HRCL,EO.US.US.GE..P290.20260306,-5
HRCL,EO.US.US.GE..P300.20260220,-2
HRCL,EO.US.US.GOOGL..C345.20260306,-4
HRCL,EO.US.US.GOOGL..C350.20260220,-2
HRCL,EO.US.US.GOOGL..C365.20260220,-1
HRCL,EO.US.US.GOOGL..P285.20260306,-5
HRCL,EO.US.US.GOOGL..P290.20260220,-2
HRCL,EO.US.US.GOOGL..P305.20260220,-2
HRCL,EO.US.US.GS..C1010.20260220,-1
HRCL,EO.US.US.GS..C990.20260306,-2
HRCL,EO.US.US.GS..P835.20260306,-1
HRCL,EO.US.US.GS..P885.20260220,-1
HRCL,EO.US.US.GS..P915.20260220,-1
HRCL,EO.US.US.JPM..C320.20260220,-2
HRCL,EO.US.US.JPM..C325.20260220,-2
HRCL,EO.US.US.JPM..C335.20260306,-4
HRCL,EO.US.US.JPM..P275.20260306,-5
HRCL,EO.US.US.JPM..P290.20260220,-2
HRCL,EO.US.US.JPM..P295.20260220,-2
HRCL,EO.US.US.LLY..C1115.20260306,-1
HRCL,EO.US.US.LLY..C1130.20260220,-1
HRCL,EO.US.US.LLY..P960.20260220,-1
HRCL,EO.US.US.LLY..P965.20260306,-1
HRCL,EO.US.US.LLY..P970.20260220,-1
HRCL,EO.US.US.MCD..C320.20260220,-2
HRCL,EO.US.US.MCD..C327-5.20260220,-2
HRCL,EO.US.US.MCD..C340.20260306,-4
HRCL,EO.US.US.MCD..P290.20260220,-2
HRCL,EO.US.US.MCD..P297-5.20260220,-2
HRCL,EO.US.US.MCD..P315.20260306,-5
HRCL,EO.US.US.META..C660.20260220,-1
HRCL,EO.US.US.META..C725.20260306,-2
HRCL,EO.US.US.META..C780.20260220,-1
HRCL,EO.US.US.META..P560.20260220,-1
HRCL,EO.US.US.META..P600.20260306,-2
HRCL,EO.US.US.META..P665.20260220,-1
HRCL,EO.US.US.MSFT..C445.20260306,-2
HRCL,EO.US.US.MSFT..C462-5.20260220,-2
HRCL,EO.US.US.MSFT..C485.20260220,-1
HRCL,EO.US.US.MSFT..P385.20260306,-2
HRCL,EO.US.US.MSFT..P395.20260220,-2
HRCL,EO.US.US.MSFT..P415.20260220,-2
HRCL,EO.US.US.NVDA..C195.20260220,-3
HRCL,EO.US.US.NVDA..C205.20260306,-7
HRCL,EO.US.US.NVDA..C207-5.20260220,-3
HRCL,EO.US.US.NVDA..P160.20260220,-4
HRCL,EO.US.US.NVDA..P165.20260306,-7
HRCL,EO.US.US.NVDA..P172-5.20260220,-4
HRCL,EO.US.US.ORCL..C180.20260306,-7
HRCL,EO.US.US.ORCL..C182-5.20260220,-3
HRCL,EO.US.US.ORCL..C202-5.20260220,-3
HRCL,EO.US.US.ORCL..P140.20260220,-4
HRCL,EO.US.US.ORCL..P140.20260306,-7
HRCL,EO.US.US.ORCL..P155.20260220,-4
HRCL,EO.US.US.PANW..C180.20260306,-7
HRCL,EO.US.US.PANW..C195.20260220,-3
HRCL,EO.US.US.PANW..C207-5.20260220,-3
HRCL,EO.US.US.PANW..P140.20260306,-7
HRCL,EO.US.US.PANW..P160.20260220,-4
HRCL,EO.US.US.WMT..C125.20260220,-10
HRCL,EO.US.US.WMT..C134.20260306,-10
HRCL,EO.US.US.WMT..P112.20260220,-12
HRCL,EO.US.US.WMT..P122.20260306,-12
HRCL,EO.US.US.XOM..C160.20260306,-10
HRCL,EO.US.US.XOM..P125.20260220,-6
HRCL,EO.US.US.XOM..P133.20260220,-6
HRCL,EO.US.US.XOM..P138.20260306,-9
HRCL,GB.CA.UN.CTB.0%20260702,1202000
HRCL,ST.CA.TO.TBIL,62331
HRCL,ST.US.US.AAPL,2040
HRCL,ST.US.US.ABBV,2427
HRCL,ST.US.US.AMAT,1597
HRCL,ST.US.US.AMZN,2500
HRCL,ST.US.US.AVGO,1525
HRCL,ST.US.US.BAC,9861
HRCL,ST.US.US.CAT,825
HRCL,ST.US.US.GE,1599
HRCL,ST.US.US.GOOGL,1593
HRCL,ST.US.US.GS,566
HRCL,ST.US.US.JPM,1659
HRCL,ST.US.US.LLY,507
HRCL,ST.US.US.MCD,1717
HRCL,ST.US.US.META,830
HRCL,ST.US.US.MSFT,1144
HRCL,ST.US.US.NVDA,2799
HRCL,ST.US.US.ORCL,2742
HRCL,ST.US.US.PANW,3149
HRCL,ST.US.US.WMT,4406
HRCL,ST.US.US.XOM,3029
HRQ1,EO.CA.TO.AEM..C285.20260220,-261
HRQ1,EO.CA.TO.BCE..C34.20260220,-924
HRQ1,EO.CA.TO.CCO..C170.20260220,-448
HRQ1,EO.CA.TO.CNQ..C49.20260220,-802
HRQ1,EO.CA.TO.ENB..C75.20260320,-742
HRQ1,EO.CA.TO.RY..C240.20260220,-289
HRQ1,EO.CA.TO.SHOP..C224.20260220,-275
HRQ1,EO.CA.TO.SU..C70.20260220,-617
HRQ1,EO.CA.TO.T..C19-5.20260220,-1434
HRQ1,EO.CA.TO.TD..C135.20260220,-546
HRQ1,ST.CA.TO.AEM,101306
HRQ1,ST.CA.TO.BCE,346877
HRQ1,ST.CA.TO.CCO,154242
HRQ1,ST.CA.TO.CNQ,311341
HRQ1,ST.CA.TO.ENB,250574
HRQ1,ST.CA.TO.RY,112297
HRQ1,ST.CA.TO.SHOP,106706
HRQ1,ST.CA.TO.SU,239303
HRQ1,ST.CA.TO.T,556435
HRQ1,ST.CA.TO.TD,207970
HRQ2,EO.CA.TO.1CCO..C160.20260306,-142
HRQ2,EO.CA.TO.CCO..C170.20260220,-219
HRQ2,ST.CA.TO.CCO,130645
HRQ3,EO.CA.TO.1AEM..C275.20260306,-101
HRQ3,EO.CA.TO.AEM..C280.20260220,-79
HRQ3,ST.CA.TO.AEM,57072
HRQ4,EO.US.US.HOOD..C115.20260220,-533
HRQ4,EO.US.US.HOOD..C87.20260306,-632
HRQ4,ST.US.US.HOOD,379898
HRQ5,EO.US.US.CRCL..C60.20260306,-754
HRQ5,EO.US.US.CRCL..C85.20260220,-1398
HRQ5,ST.US.US.CRCL,628341
HRQ6,EO.US.US.RDDT..C150.20260306,-326
HRQ6,EO.US.US.RDDT..C240.20260220,-369
HRQ6,ST.US.US.RDDT,232835
HRQ7,EO.US.US.SOFI..C22.20260306,-2266
HRQ7,EO.US.US.SOFI..C27.20260220,-3568
HRQ7,ST.US.US.SOFI,1910157
HRQA,EO.CA.TO.BAM..C74.20260220,-151
HRQA,EO.CA.TO.BCE..C34.20260220,-350
HRQA,EO.CA.TO.BEPC..C56.20260220,-212
HRQA,EO.CA.TO.BMO..C194.20260220,-62
HRQA,EO.CA.TO.BNS..C105.20260220,-111
HRQA,EO.CA.TO.CM..C132.20260220,-87
HRQA,EO.CA.TO.CNQ..C49-5.20260220,-254
HRQA,EO.CA.TO.CVE..C26-5.20260220,-486
HRQA,EO.CA.TO.EMA..C69.20260220,-161
