FundID,ISIN,CUSIP,Ticker,SEDOL,Currency,Country Restriction,Trade Country,IDENTIFIER,CIN,SSC_ASSET_ID,ROUND LOT,TIP FACTOR,PAR,INTEREST RATE,MATURITY DATE,FUND TICKER,FUND NAME,BASKET DATE,CORPORATE ACTION FACTOR,INTEREST FACTOR,SUPPRESSPRICE,SUPPLEMENTAL_ID_1,SUPPLEMENTAL_ID_2,RIC,BBG,DERIV_TYPE,Basket Shares
HRQP,,,MSFT,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.MSFT..C405.20260320,,MSFT  260320C00405000,MSFT US 03/20/26 C405 EQUITY,OP,0.0
HRVS,,,MSFT,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.MSFT..C410.20260320,,MSFT  260320C00410000,MSFT US 03/20/26 C410 EQUITY,OP,0.0
HRVU,,,MSFT,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.MSFT..C410.20260320,,MSFT  260320C00410000,MSFT US 03/20/26 C410 EQUITY,OP,0.0
HRCL,,,MSFT,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.MSFT..C412-5.20260320,,MSFT  260320C00412500,MSFT US 03/20/26 C412.5 EQUITY,OP,0.0
HRVS,,,MSFT,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.MSFT..C405.20260402,,MSFT  260402C00405000,MSFT US 04/02/26 C405 EQUITY,OP,0.0
HRVU,,,MSFT,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.MSFT..C405.20260402,,MSFT  260402C00405000,MSFT US 04/02/26 C405 EQUITY,OP,0.0
HR21,,,MSI,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.MSI..C470.20260320,,MSI   260320C00470000,MSI US 03/20/26 C470 EQUITY,OP,0.0
HRV4,,,MSTR,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.MSTR..C140.20260306,,MSTR  260306C00140000,MSTR US 03/06/26 C140 EQUITY,OP,0.0
HRV8,,,MSTR,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.MSTR..C140.20260306,,MSTR  260306C00140000,MSTR US 03/06/26 C140 EQUITY,OP,0.0
HRV4,,,MSTR,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.MSTR..C140.20260313,,MSTR  260313C00140000,MSTR US 03/13/26 C140 EQUITY,OP,0.0
