FundID,ISIN,CUSIP,Ticker,SEDOL,Currency,Country Restriction,Trade Country,IDENTIFIER,CIN,SSC_ASSET_ID,ROUND LOT,TIP FACTOR,PAR,INTEREST RATE,MATURITY DATE,FUND TICKER,FUND NAME,BASKET DATE,CORPORATE ACTION FACTOR,INTEREST FACTOR,SUPPRESSPRICE,SUPPLEMENTAL_ID_1,SUPPLEMENTAL_ID_2,RIC,BBG,DERIV_TYPE,Basket Shares
HRQB,,,AMZN,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMZN..C245.20260220,,AMZN  260220C00245000,AMZN US 02/20/26 C245 EQUITY,OP,0.0
HRQD,,,AMZN,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMZN..C245.20260220,,AMZN  260220C00245000,AMZN US 02/20/26 C245 EQUITY,OP,0.0
HRQP,,,AMZN,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMZN..C247-5.20260220,,AMZN  260220C00247500,AMZN US 02/20/26 C247.5 EQUITY,OP,0.0
HRCL,,,AMZN,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMZN..C252-5.20260220,,AMZN  260220C00252500,AMZN US 02/20/26 C252.5 EQUITY,OP,0.0
HRCL,,,AMZN,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMZN..C260.20260220,,AMZN  260220C00260000,AMZN US 02/20/26 C260 EQUITY,OP,0.0
HRQB,,,AMZN,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMZN..C220.20260306,,AMZN  260306C00220000,AMZN US 03/06/26 C220 EQUITY,OP,0.0
HRQD,,,AMZN,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMZN..C220.20260306,,AMZN  260306C00220000,AMZN US 03/06/26 C220 EQUITY,OP,0.0
HRCL,,,AMZN,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AMZN..C225.20260306,,AMZN  260306C00225000,AMZN US 03/06/26 C225 EQUITY,OP,0.0
HR21,,,ANET,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.ANET..C130.20260220,,ANET  260220C00130000,ANET US 02/20/26 C130 EQUITY,OP,0.0
HR21,,,ANET,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.ANET..C145.20260220,,ANET  260220C00145000,ANET US 02/20/26 C145 EQUITY,OP,0.0
HRT0,,,APA,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.APA..C26.20260220,,APA   260220C00026000,APA US 02/20/26 C26 EQUITY,OP,0.0
HRTG,,,ARE,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.ARE..C57-5.20260220,,ARE   260220C00057500,ARE US 02/20/26 C57.5 EQUITY,OP,0.0
HRQM,,,ATD,,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.ATD..C75.20260220,,ATD   260220C00075000,ATD CN 02/20/26 C75. EQUITY,OP,0.0
HRQP,,,AVGO,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AVGO..C340.20260220,,AVGO  260220C00340000,AVGO US 02/20/26 C340 EQUITY,OP,0.0
HR21,,,AVGO,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AVGO..C350.20260220,,AVGO  260220C00350000,AVGO US 02/20/26 C350 EQUITY,OP,0.0
HRT9,,,AVGO,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AVGO..C350.20260220,,AVGO  260220C00350000,AVGO US 02/20/26 C350 EQUITY,OP,0.0
HRQG,,,AVGO,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AVGO..C350.20260220,,AVGO  260220C00350000,AVGO US 02/20/26 C350 EQUITY,OP,0.0
HRQP,,,AVGO,,USD,N,US,,,,,,,,,,,,,,,EO.US.US.AVGO..C350.20260220,,AVGO  260220C00350000,AVGO US 02/20/26 C350 EQUITY,OP,0.0
