FundID,ISIN,CUSIP,Ticker,SEDOL,Basket Shares,Currency,Country Restriction,Trade Country,IDENTIFIER,CIN,SSC_ASSET_ID,ROUND LOT,TIP FACTOR,PAR,INTEREST RATE,MATURITY DATE,FUND TICKER,FUND NAME,BASKET DATE,CORPORATE ACTION FACTOR,INTEREST FACTOR,SUPPRESSPRICE,SUPPLEMENTAL_ID_1,SUPPLEMENTAL_ID_2,RIC,BBG,DERIV_TYPE
HRCL ,,,BAC,,-42,USD,N,US,,,,,,,,,,,,,,,EO.US.US.BAC..P47-5.20260320,,BAC   260320P00047500,BAC US 03/20/26 P47.5 EQUITY,OP
HRQA,,,BAM,,-158,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.BAM..C70.20260320,,BAM   260320C00070000,BAM CN 03/20/26 C70. Equity,OP
HRQA,,,BCE,,-367,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.BCE..C35-5.20260320,,BCE   260320C00035500,BCE CN 03/20/26 C35.5 Equity,OP
HRQM,,,BCE,,-46,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.BCE..C35-5.20260320,,BCE   260320C00035500,BCE CN 03/20/26 C35.5 Equity,OP
HRQY,,,BCE,,-557,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.BCE..C35-5.20260320,,BCE   260320C00035500,BCE CN 03/20/26 C35.5 Equity,OP
HRQ1,,,BCE,,-1145,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.BCE..C35-5.20260320,,BCE   260320C00035500,BCE CN 03/20/26 C35.5 Equity,OP
HRTM,,,BCE,,-690,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.BCE..C36.20260320,,BCE   260320C00036000,BCE CN 03/20/26 C36. Equity,OP
HRQA,,,BEPC,,-223,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.BEPC..C60.20260320,,BEPC  260320C00060000,BEPC CN 03/20/26 C60. Equity,OP
HRVG,,,BKNG,,-2,USD,N,US,,,,,,,,,,,,,,,EO.US.US.BKNG..C3880.20260320,,BKNG  260320C03880000,BKNG US 03/20/26 C3880 EQUITY,OP
HRQL,,,BLSH,,-172,USD,N,US,,,,,,,,,,,,,,,EO.US.US.BLSH..C35.20260320,,BLSH  260320C00035000,BLSH US 03/20/26 C35 EQUITY,OP
HRQA,,,BMO,,-65,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.BMO..C200.20260320,,BMO   260320C00200000,BMO CN 03/20/26 C200. Equity,OP
HRQM,,,BMO,,-32,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.BMO..C200.20260320,,BMO   260320C00200000,BMO CN 03/20/26 C200. Equity,OP
HRCJ,,,BMO,,-21,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.BMO..C206.20260320,,BMO   260320C00206000,BMO CN 03/20/26 C206. Equity,OP
HRCJ ,,,BMO,,-14,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.BMO..P190.20260320,,BMO   260320P00190000,BMO CN 03/20/26 P190. Equity,OP
HRTH,,,BMY,,-2351,USD,N,US,,,,,,,,,,,,,,,EO.US.US.BMY..C62.20260320,,BMY   260320C00062000,BMY US 03/20/26 C62 EQUITY,OP
HRQA,,,BNS,,-117,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.BNS..C108.20260320,,BNS   260320C00108000,BNS CN 03/20/26 C108. Equity,OP
HRQM,,,BNS,,-61,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.BNS..C108.20260320,,BNS   260320C00108000,BNS CN 03/20/26 C108. Equity,OP
HRCJ,,,BNS,,-39,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.BNS..C110.20260320,,BNS   260320C00110000,BNS CN 03/20/26 C110. Equity,OP
HRCJ ,,,BNS,,-27,CAD,N,CA,,,,,,,,,,,,,,,EO.CA.TO.BNS..P102.20260320,,BNS   260320P00102000,BNS CN 03/20/26 P102. Equity,OP
HRT0,,,BP,,-143,USD,N,US,,,,,,,,,,,,,,,EO.US.US.BP..C39.20260320,,BP    260320C00039000,BP US 03/20/26 C39 EQUITY,OP
HRTH,,,BSX,,-755,USD,N,US,,,,,,,,,,,,,,,EO.US.US.BSX..C75.20260320,,BSX   260320C00075000,BSX US 03/20/26 C75 EQUITY,OP
HRQL,,,BTDR,,-324,USD,N,US,,,,,,,,,,,,,,,EO.US.US.BTDR..C10.20260320,,BTDR  260320C00010000,BTDR US 03/20/26 C10 EQUITY,OP
HRTM,GB00N0Z06591,ADI38Q803,BTG,,-1276800,GBP,N,GB,,,,,,,,,,,,,,,EO.GB.L.BTG..C215.20260320.A,,BTG   260320C00215000,BTG LN 03/20/26 C215 Equity,OP
HRVG,,,BYD,,-10,USD,N,US,,,,,,,,,,,,,,,EO.US.US.BYD..C85.20260320,,BYD   260320C00085000,BYD US 03/20/26 C85 EQUITY,OP
HRTP,,,C,,-78,USD,N,US,,,,,,,,,,,,,,,EO.US.US.C..C112.20260320,,C     260320C00112000,C US 03/20/26 C112 EQUITY,OP
HRCL,,,CAT,,-2,USD,N,US,,,,,,,,,,,,,,,EO.US.US.CAT..C790.20260306,,CAT   260306C00790000,CAT US 03/06/26 C790 EQUITY,OP
